sample,date,event_date,relative_session,strategy,return,cumulative_return_window,drawdown_window,probability_high_risk,assigned_regime,economic_label,strategy_exposure
MAIN,2022-03-15,2022-02-24,13,ML Hard Classification,7.33627006775542e-05,-0.03286671064488189,-0.05006972141705346,0.8091957,1,high_risk,0.3555517372976248
MAIN,2022-03-16,2022-02-24,14,ML Hard Classification,0.0061755102800213,-0.026875689307306216,-0.04418526616063845,0.7097796,1,high_risk,0.3555517372976248
MAIN,2022-03-17,2022-02-24,15,ML Hard Classification,0.0013381421371142,-0.025572639023711874,-0.042905394055597235,0.51976645,1,high_risk,0.3555517372976248
MAIN,2022-03-18,2022-02-24,16,ML Hard Classification,0.0002366011029554,-0.02534206115894211,-0.042678917624968116,0.33811617,2,medium_risk,0.3555517372976248
MAIN,2022-03-21,2022-02-24,17,ML Hard Classification,-0.0019957960647933,-0.0272853397988303,-0.04458762994008669,0.24668308,2,medium_risk,0.5905564268559998
MAIN,2022-03-22,2022-02-24,18,ML Hard Classification,0.0068587114577254,-0.020590839032752162,-0.03801220848816389,0.11359877,2,medium_risk,0.5905564268559998
MAIN,2022-03-23,2022-02-24,19,ML Hard Classification,-0.0111542888682511,-0.0314547494978632,-0.048682875714916474,0.2120546,2,medium_risk,0.5905564268559998
MAIN,2022-03-24,2022-02-24,20,ML Hard Classification,-0.0016545447583286,-0.03305592599092788,-0.05025557107020884,0.05875148,2,medium_risk,0.5905564268559998
MAIN,2022-01-27,2022-02-24,-20,ML Probability-Weighted,0.0064301937532113,0.006450911832345252,0.0,0.0029784865,2,medium_risk,0.6492433984520651
MAIN,2022-01-28,2022-02-24,-19,ML Probability-Weighted,-0.0077352872779837,-0.001304242260584898,-0.007705446934129223,0.0033214318,2,medium_risk,0.6961592304581097
MAIN,2022-01-31,2022-02-24,-18,ML Probability-Weighted,0.0002247023722366,-0.0010798077401380501,-0.0074824509411719475,0.0031862673,2,medium_risk,0.6449931581947019
MAIN,2022-02-01,2022-02-24,-17,ML Probability-Weighted,0.00900557030975,0.007956666515572142,0.0,0.0033697942,2,medium_risk,0.6854666587791826
MAIN,2022-02-02,2022-02-24,-16,ML Probability-Weighted,-0.0010250630773558,0.0069239767296627175,-0.0010245378796683857,0.0030801692,2,medium_risk,0.6621109034258185
MAIN,2022-02-03,2022-02-24,-15,ML Probability-Weighted,-0.0018876775797533,0.0050250217854936885,-0.002908502743687258,0.0031810477,2,medium_risk,0.6901417660012041
MAIN,2022-02-04,2022-02-24,-14,ML Probability-Weighted,-0.0084383074523244,-0.0034200073587745683,-0.01128686802943124,0.003769291,2,medium_risk,0.7282742257980267
