date,sample_split_robust,ret_1d,regime,regime_t_plus_1,regime_pred,proba_0,proba_1,proba_2,target_exposure_ml_hard,target_exposure_ml_proba,strategy_exposure_ml_hard,strategy_exposure_ml_proba,benchmark_return,ml_hard_return,ml_proba_return,benchmark_cum,ml_hard_cum,ml_proba_cum,benchmark_drawdown,ml_hard_drawdown,ml_proba_drawdown
2021-04-27,test,0.0062777064390118,1,1,0,0.6656797,0.33384758,0.00047268017,1.0,0.8664082378482302,1.0,0.8413421392137013,0.0062777064390118,0.0062777064390118,0.005281698964753815,0.9035723149696112,0.9746211082592457,0.9431099458973984,-0.13158985535570855,-0.06330589862610358,-0.08962388649563069
2021-04-28,test,0.0048870775644255,1,0,0,0.7034373,0.296072,0.0004907258,1.0,0.8814807608974135,1.0,0.8664082378482302,0.0048870775644255,0.0048870775644255,0.004234204260821518,0.9079989508039683,0.9793958148889927,0.9471117322603457,-0.12733548035825093,-0.05871699787485374,-0.08576099571389029
2021-04-29,test,0.0026784166316492,0,0,0,0.7589103,0.24033651,0.0007531684,1.0,0.9035749871347326,1.0,0.8814807608974135,0.0026784166316492,0.0026784166316492,0.0023609727304664237,0.9104342101590392,0.9820225611186154,0.9493504790029885,-0.12499498818762189,-0.05619247046800513,-0.08359995227716943
2021-04-30,test,-0.0009298222962093,0,0,0,0.8046682,0.19470209,0.00062969467,1.0,0.921871954360216,1.0,0.9035749871347326,-0.0009298222962093,-0.0009298222962093,-0.0008401641693349058,0.9095880615760736,0.9811098790277419,0.9485532037143527,-0.12580820922278435,-0.05706963588511538,-0.08436955542027991
2021-05-03,test,0.008888367025649,0,0,0,0.771401,0.22783013,0.00076884986,1.0,0.908559099239703,1.0,0.921871954360216,0.008888367025649,0.008888367025649,0.008193936281005943,0.9177088509237713,0.9898692141499774,0.9563575185886529,-0.11800343728010132,-0.048651166931975576,-0.07683611578820249
2021-05-04,test,-0.0071428249359958,0,0,0,0.7906068,0.20845501,0.0009381643,1.0,0.9161919006025536,1.0,0.908559099239703,-0.0071428249359958,-0.0071428249359958,-0.006489678589875233,0.911177172348179,0.9828239431664911,0.9501711611237967,-0.12428093808731777,-0.05542227389537713,-0.08280775471545987
2021-05-05,test,0.0154400042858756,0,0,0,0.69911885,0.29967183,0.0012093688,1.0,0.8796039926274327,1.0,0.9161919006025536,0.0154400042858756,0.0154400042858756,0.01414600687198794,0.9253549223990918,0.998116503859553,0.9637078079143193,-0.11065490974573688,-0.040724817340513475,-0.06974094320674318
2021-05-06,test,0.0016045006924112,0,0,0,0.8652529,0.13401347,0.00073363935,1.0,0.9460409105025893,1.0,0.8796039926274327,0.0016045006924112,0.0016045006924112,0.001411325215218372,0.9268408467773711,0.9997192679553041,0.9650688732707415,-0.10922680954512876,-0.039184424195257916,-0.06842711824413383
2021-05-07,test,0.0085359745772442,0,0,0,0.85212535,0.147479,0.00039568575,1.0,0.9408708955077897,1.0,0.9460409105025893,0.0085359745772442,0.0085359745772442,0.008075381161083058,0.934786199101972,1.0082893712661534,0.972893724072819,-0.10159064756102831,-0.030947823170090927,-0.06087385545336921
2021-05-10,test,0.0093498754993236,0,1,0,0.8812528,0.11846975,0.00027737243,1.0,0.9525262885598147,1.0,0.9408708955077897,0.0093498754993236,0.0093498754993236,0.008797025733934939,0.9435673209093782,1.0177609614487073,0.9814900508162637,-0.09315123974322104,-0.021844816289319335,-0.052575893412830865
2021-05-11,test,-0.0173293484660136,1,0,0,0.52642924,0.47301772,0.0005530912,1.0,0.8107896226981924,1.0,0.9525262885598147,-0.0173293484660136,-0.0173293484660136,-0.016506659977491654,0.9273567787465009,1.0002757681702943,0.9654219087932325,-0.10873095487083662,-0.03864957997284446,-0.068086336017955
2021-05-12,test,0.0022784242672449,0,0,0,0.80353576,0.19590658,0.0005576313,1.0,0.9214350601029614,1.0,0.8107896226981924,0.0022784242672449,0.0022784242672449,0.001847322751985898,0.9294720998199335,1.0025574190517539,0.9672070029655001,-0.10669795070623855,-0.03645671866094968,-0.06636319959907022
2021-05-13,test,-0.0046178150367257,0,1,0,0.7950139,0.204379,0.0006071413,1.0,0.9180218871721894,1.0,0.9214350601029614,-0.0046178150367257,-0.0046178150367257,-0.0042550166759097036,0.9251898644761551,0.9979384672673353,0.9631002643555568,-0.11081354450286407,-0.040895925706981084,-0.07032739990377701
2021-05-14,test,0.0198108728427124,1,1,1,0.29244965,0.70694005,0.0006103245,0.6007078845462255,0.7173512592351821,1.0,0.9180218871721894,0.0198108728427124,0.0198108728427124,0.018186814873595112,0.9437014430677594,1.017905629766315,0.9807762381936341,-0.09302233689722839,-0.021705777683844518,-0.05326493074510241
2021-05-17,test,0.0010928246696507,1,0,0,0.6689316,0.3305545,0.00051393267,1.0,0.867697987772893,0.6007078845462255,0.7173512592351821,0.0010928246696507,0.0006564683954857997,0.0007839391528972015,0.9447333070060192,1.0185740720234462,0.981545408538968,-0.09203062754864388,-0.02106334760095596,-0.052522457067824435
2021-05-18,test,0.0030863222786498,0,1,0,0.9042855,0.09546641,0.00024813492,1.0,0.9617293403426684,1.0,0.867697987772893,0.0030863222786498,0.0030863222786498,0.0026779956308030815,0.9476535625656648,1.0217225760241824,0.9841775056537146,-0.08922401261485702,-0.018037366426682855,-0.04998171581903066
2021-05-19,test,-0.0124025333603358,1,0,0,0.65174025,0.3478438,0.00041600494,1.0,0.8608544058648316,1.0,0.9617293403426684,-0.0124025333603358,-0.0124025333603358,-0.011927880227213687,0.9359728426309706,1.0091288859533283,0.9725080883047359,-0.10045018181015641,-0.030140977875207087,-0.061246106422943924
2021-05-20,test,0.0058917026019704,0,0,0,0.8808496,0.118770815,0.0003796074,1.0,0.9523436650338509,1.0,0.8608544058648316,0.0058917026019704,0.0058917026019704,0.005071898142951512,0.9415035930328584,1.0150919222053785,0.9774530799182334,-0.09513465844039015,-0.024409990893455413,-0.05647274753091791
2021-05-21,test,0.0086970093816244,0,0,0,0.8955149,0.10420012,0.0002849786,1.0,0.9582194647578242,1.0,0.9523436650338509,0.0086970093816244,0.0086970093816244,0.008282541789329967,0.949727568774382,1.0239586874576936,0.985582495538621,-0.08723071556284867,-0.01588827241257329,-0.04862549087781576
2021-05-24,test,0.0001629593420049,0,0,0,0.9337528,0.06594796,0.00029922804,1.0,0.9734845273982238,1.0,0.9582194647578242,0.0001629593420049,0.0001629593420049,0.00015615081347322249,0.949882348365121,1.0241255646883745,0.9857364070634365,-0.08708195916056105,-0.015727889145365492,-0.04847692137497617
2021-05-25,test,0.0003475790760148,0,0,0,0.94480795,0.05454665,0.0006453287,1.0,0.9778253012389018,1.0,0.9734845273982238,0.0003475790760148,0.0003475790760148,0.0003383628525477789,0.9502125649789568,1.0244815911759664,0.9860700000805503,-0.08676459279969062,-0.015385717292084045,-0.04815490683602075
2021-05-26,test,-0.0012821973669382,0,0,0,0.9661265,0.033555865,0.00031759072,1.0,0.9864071755259892,1.0,0.9778253012389018,-0.0012821973669382,-0.0012821973669382,-0.0012537650265740722,0.9489949856854026,1.0231688453567498,0.9848344746918026,-0.08793479046169717,-0.01664737811088135,-0.049347549121723566
2021-05-27,test,-0.001175083772271,0,0,0,0.9639546,0.035765287,0.00028012134,1.0,0.9855479336632704,1.0,0.9864071755259892,-0.001175083772271,-0.001175083772271,-0.0011591110648122617,0.947880492017712,1.0219672423806234,0.9836936034811344,-0.0890059140354611,-0.01780222116772956,-0.050448822523934234
2021-05-28,test,0.0041823567549555,0,0,0,0.9763282,0.023290483,0.00038127546,1.0,0.99046712492269,1.0,0.9855479336632704,0.0041823567549555,0.0041823567549555,0.004121913057689014,0.9518531681800124,1.0262504246347652,0.9877566710430258,-0.08518783304341093,-0.013685717309394385,-0.04652677751529988
2021-05-31,test,-0.008240090029134,0,0,0,0.95994925,0.039711986,0.00033873194,1.0,0.9839361705678769,1.0,0.99046712492269,-0.008240090029134,-0.008240090029134,-0.008161538280260477,0.9440420387817554,1.0178287739749627,0.9797278654298891,-0.09269499533490255,-0.02177964266153265,-0.054276916173009115
2021-06-01,test,0.0044496167319708,0,0,0,0.9703462,0.029248264,0.00040558144,1.0,0.9880734552598851,1.0,0.9839361705678769,0.0044496167319708,0.0044496167319708,0.0043781388477500995,0.9482520234962631,1.022367812920676,0.9840266535367242,-0.08864884056200106,-0.01741723867671663,-0.05012733210118003
2021-06-02,test,-0.0009798371868534,0,0,0,0.94053817,0.058870718,0.0005911819,1.0,0.9761319837337227,1.0,0.9880734552598851,-0.0009798371868534,-0.0009798371868534,-0.0009681511148063646,0.9473233459518293,1.021366549536591,0.9830744280585607,-0.089541378975727,-0.018379538279963747,-0.05104650736145733
2021-06-03,test,-0.0041804999418068,0,0,0,0.95550525,0.04419311,0.000301671,1.0,0.9821696167110837,1.0,0.9761319837337227,-0.0041804999418068,-0.0041804999418068,-0.004080719701194584,0.9433713272218867,1.0171056393086793,0.979070950961754,-0.09333960641148231,-0.02247463681943318,-0.0549110301943988
2021-06-04,test,-0.0059351252742655,0,0,0,0.9606577,0.03899018,0.00035218417,1.0,0.984216253002478,1.0,0.9821696167110837,-0.0059351252742655,-0.0059351252742655,-0.0058292997157576125,0.9377888828551232,1.0110868686690384,0.9733802554449776,-0.09870481209529391,-0.028259189306443777,-0.060404210804184455
2021-06-07,test,0.0082512214423616,0,0,0,0.95255184,0.047075115,0.00037304507,1.0,0.9809751829010284,1.0,0.984216253002478,0.0082512214423616,0.0082512214423616,0.008120986250694835,0.9455587981566275,1.019464083920411,0.9813172475976014,-0.09123726006977595,-0.02020797017584708,-0.052742698909147734
2021-06-08,test,-0.0010918700914981,0,0,0,0.97496593,0.02476142,0.00027264797,1.0,0.9899462501479891,1.0,0.9809751829010284,-0.0010918700914981,-0.0010918700914981,-0.0010710974627115113,0.9445269342183678,1.0183515690492055,0.9802667238906575,-0.09222896941836034,-0.021277191957232655,-0.05375676062446744
2021-06-09,test,0.000273079310115,0,0,0,0.9721691,0.02755196,0.00027896347,1.0,0.9888281734747849,1.0,0.9899462501479891,0.000273079310115,0.000273079310115,0.0002703338390413441,0.9447849002029326,1.0186296977670068,0.9805317589797738,-0.09198104208121427,-0.02100988651188629,-0.053500924477874356
2021-06-10,test,-0.0024384842401361,0,0,0,0.97759676,0.02214595,0.0002573402,1.0,0.9909999987198413,1.0,0.9888281734747849,-0.0024384842401361,-0.0024384842401361,-0.0024112419172208285,0.9424838637742057,1.0161488113330244,0.9781703078604579,-0.09419253455923449,-0.02339423020113851,-0.0557804134193125
2021-06-11,test,0.0077650177574028,0,0,0,0.97311825,0.026544578,0.00033714212,1.0,0.9891947870237939,1.0,0.9909999987198413,0.0077650177574028,0.0077650177574028,0.007695132587645721,0.9498307551682085,1.0240699389448147,0.9857264937121017,-0.08713154462798978,-0.015781350234434277,-0.048486490649798375
2021-06-14,test,0.0082332174829468,0,0,0,0.9819056,0.017805371,0.00028908288,1.0,0.9927137526065526,1.0,0.9891947870237939,0.0082332174829468,0.0082332174829468,0.008144255814564136,0.9576831994311811,1.0325361336570777,0.9937872824476277,-0.07958467522390822,-0.007644614244564529,-0.04070547895254051
2021-06-15,test,-0.0054451257165912,0,0,0,0.97240037,0.027286457,0.00031318984,1.0,0.9889132527058245,1.0,0.9927137526065526,-0.0054451257165912,-0.0054451257165912,-0.005405451183531694,0.9524826656431289,1.0269291238926195,0.9884299063676928,-0.0845828322328045,-0.013033429373034866,-0.04587690910811115
2021-06-16,test,-0.0030922993242007,0,0,0,0.9827321,0.017001564,0.0002663703,1.0,0.9930485742183921,1.0,0.9889132527058245,-0.0030922993242007,-0.0030922993242007,-0.003058015783035337,0.9495418534190884,1.0237584565096833,0.9854118890378158,-0.08740920387627016,-0.016080711449984242,-0.04879017590082624
