date,sample_split_main,sample_split_robust,ret_1d,ewma_vol,cvar_95_60d,p_regime_0,p_regime_1,p_regime_2,regime,target_exposure,strategy_exposure,benchmark_return,strategy_return,benchmark_cum,strategy_cum,target_exposure_alt,strategy_exposure_alt,strategy_return_alt,strategy_cum_alt
2025-09-10,test,test,0.0128037889589869,0.0082922471150774,-0.0169533665617232,0.9043168414466838,0.0946043407718555,0.0010788177814603,0,1.0,1.0,0.0128037889589869,0.0128037889589869,1.5702389480469423,1.3868789760638276,1.0,1.0,0.0128037889589869,1.3410812499625744
2025-09-11,test,test,0.0067979229754932,0.0082102610123737,-0.0169533665617232,0.926350730255176,0.0728899877929634,0.0007592819518606,0,1.0,1.0,0.0067979229754932,0.0067979229754932,1.580949675572487,1.3963389903132526,1.0,1.0,0.0067979229754932,1.3502288741988933
2025-09-12,test,test,-0.0008553590606233,0.0079629002935602,-0.0169533665617232,0.9488453645600602,0.0507046573531852,0.0004499780867541,0,1.0,1.0,-0.0008553590606233,-0.0008553590606233,1.579597974120552,1.3951451297686932,1.0,1.0,-0.0008553590606233,1.3490744374967645
2025-09-15,test,test,0.0056606062966811,0.007843842300737,-0.0169533665617232,0.9584605694149088,0.0411940527604308,0.0003453778246604,0,1.0,1.0,0.0056606062966811,0.0056606062966811,1.5885648112832522,1.4030648912535326,1.0,1.0,0.0056606062966811,1.3567326714269075
2025-09-16,test,test,-0.0151712298520506,0.008464294609117,-0.0169533665617232,0.8335753243987005,0.1644917838115662,0.0019328917897333,0,1.0,1.0,-0.0151712298520506,-0.0151712298520506,1.5646462253479814,1.3819393268850886,1.0,1.0,-0.0151712298520506,1.3363047186218218
2025-09-17,test,test,-0.0023835609492247,0.0082271810484546,-0.0166644358853248,0.8874265452112885,0.1114338570213435,0.0011395977673677,0,1.0,1.0,-0.0023835609492247,-0.0023835609492247,1.5609212368380485,1.378649312803518,1.0,1.0,-0.0023835609492247,1.3331233478799926
2025-09-18,test,test,0.0031812606859477,0.0080145207403141,-0.0166644358853248,0.9271287650165706,0.072197569886974,0.0006736650964551,0,1.0,1.0,0.0031812606859477,0.0031812606859477,1.5658948411740534,1.3830421393204277,1.0,1.0,0.0031812606859477,1.3373711138190842
2025-09-19,test,test,0.0056051876801075,0.0078907336712668,-0.0166644358853248,0.94535377513805,0.0541623052377817,0.0004839196241681,0,1.0,1.0,0.0056051876801075,0.0056051876801075,1.5746966204138175,1.3908161170292133,1.0,1.0,0.0056051876801075,1.3448883780669487
2025-09-22,test,test,-0.0117457778294934,0.0081734726406712,-0.0166644358853248,0.8878219423811877,0.1110173602077155,0.0011606974110967,0,1.0,1.0,-0.0117457778294934,-0.0117457778294934,1.5563087848804344,1.374575466172675,1.0,1.0,-0.0117457778294934,1.3291840284252032
2025-09-23,test,test,0.0050065212077699,0.0080188048351088,-0.0166644358853248,0.9229983707760728,0.0762613278071158,0.0007403014168109,0,1.0,1.0,0.0050065212077699,0.0050065212077699,1.564120015046654,1.381474563222968,1.0,1.0,0.0050065212077699,1.3358553024552409
2025-09-24,test,test,0.0023984233247338,0.0077966853977333,-0.0166644358853248,0.948320968122042,0.0512328918913025,0.0004461399866551,0,1.0,1.0,0.0023984233247338,0.0023984233247338,1.5678759393211423,1.3847919006374132,1.0,1.0,0.0023984233247338,1.3390630942547377
2025-09-25,test,test,-0.0026953364166262,0.0075879440762094,-0.0166644358853248,0.9583144875180316,0.0413569501808222,0.0003285623011465,0,1.0,1.0,-0.0026953364166262,-0.0026953364166262,1.5636556762744371,1.3810644462265962,1.0,1.0,-0.0026953364166262,1.3354587284039952
2025-09-26,test,test,0.0128968183241698,0.0080063697740399,-0.0166644358853248,0.927771753542645,0.0715041369141678,0.0007241095431869,0,1.0,1.0,0.0128968183241698,0.0128968183241698,1.583952460093601,1.3989911336237741,1.0,1.0,0.0128968183241698,1.3527934380341953
